Location Name,Impressions
Afghanistan,164
Albania,3
Algeria,335
Angola,23
Antarctica,0
Argentina,7
Armenia,10
Australia,1
Austria,0
Azerbaijan,3
Bangladesh,379
Belarus,1
Belgium,0
Belize,4
Benin,2
Bhutan,5
Bolivia,26
Bosnia and Herzegovina,2
Botswana,0
Brazil,32
Bulgaria,0
Burkina Faso,6
Burundi,1
Cambodia,125
Cameroon,5
Canada,6
Central African Republic,0
Chad,14
Chile,1
China,0
Colombia,8
Costa Rica,0
Cote d'Ivoire,83
Croatia,0
Cuba,2
Cyprus,1
Czechia,1
Democratic Republic of the Congo,12
Denmark,0
Djibouti,1
Dominican Republic,49
Ecuador,11
Egypt,"1,007"
El Salvador,24
Equatorial Guinea,0
Eritrea,0
Estonia,0
Eswatini,1
Ethiopia,69
Fiji,1
Finland,0
France,0
French Southern and Antarctic Lands,0
Gabon,3
Georgia,17
Germany,1
Ghana,36
Greece,0
Guatemala,11
Guinea,7
Guinea-Bissau,0
Guyana,1
Haiti,9
Honduras,38
Hungary,0
Iceland,0
India,"6,329"
Indonesia,468
Iran,11
Iraq,300
Ireland,0
Israel,0
Italy,5
Jamaica,15
Japan,0
Jordan,27
Kazakhstan,7
Kenya,65
Kuwait,0
Kyrgyzstan,2
Laos,24
Latvia,0
Lebanon,12
Lesotho,5
Liberia,1
Libya,17
Lithuania,0
Madagascar,9
Malawi,2
Malaysia,8
Mali,8
Mauritania,10
Mexico,12
Moldova,1
Mongolia,8
Montenegro,0
Morocco,294
Mozambique,7
Myanmar (Burma),33
Namibia,0
Nepal,338
Netherlands,0
New Caledonia,0
New Zealand,0
Nicaragua,15
Niger,43
Nigeria,52
North Korea,0
North Macedonia,4
Norway,0
Oman,1
Pakistan,660
Panama,0
Papua New Guinea,4
Paraguay,6
Peru,3
Philippines,50
Poland,1
Portugal,0
Qatar,5
Republic of the Congo,1
Romania,3
Russia,0
Rwanda,2
Saudi Arabia,2
Senegal,28
Serbia,4
Sierra Leone,2
Slovakia,1
Slovenia,0
Solomon Islands,1
Somalia,34
South Africa,8
South Georgia and the South Sandwich Islands,0
South Korea,0
Spain,0
Sri Lanka,94
Sudan,20
Suriname,15
Sweden,1
Switzerland,2
Syria,191
Tajikistan,2
Tanzania,15
Thailand,13
The Bahamas,0
Timor-Leste,8
Togo,7
Tunisia,26
Turkey,29
Turkmenistan,1
Uganda,32
Ukraine,12
United Arab Emirates,4
United Kingdom,5
United States,26
Uruguay,1
Uzbekistan,10
Vanuatu,1
Venezuela,145
Vietnam,68
Yemen,44
Zambia,2
Zimbabwe,6
